Date,White Name,Black Name,Result
3/23/2026,Alice,Bob,1-0
3/23/2026,Bob,Charlie,0-1
3/24/2026,Charlie,David,1/2-1/2
3/25/2026,David,Edward,1-0
3/26/2026,Edward,Fiona,0-1
3/27/2026,Fiona,Alice,1/2-1/2
3/27/2026,Alice,Bob,1-0
3/30/2026,Bob,Charlie,0-1
3/31/2026,Charlie,David,1/2-1/2
3/31/2026,David,Edward,1-0
3/31/2026,Edward,Fiona,0-1
4/1/2026,Fiona,Alice,1/2-1/2
4/1/2026,Alice,Bob,1-0
4/2/2026,Bob,Charlie,0-1
4/6/2026,Charlie,David,1/2-1/2
4/7/2026,David,Edward,1-0
4/8/2026,Edward,Fiona,0-1
4/8/2026,Fiona,Alice,1/2-1/2
